Name,Type,Maker
`Static`_,job,:obj:`.StaticMaker`
`Relax`_,job,:obj:`.RelaxMaker`
`Tight Relax`_,job,:obj:`.TightRelaxMaker`
`Dielectric`_,job,:obj:`.DielectricMaker`
`HSE06 Static`_,job,:obj:`.HSEStaticMaker`
`HSE06 Relax`_,job,:obj:`.HSERelaxMaker`
`HSE06 Tight Relax`_,job,:obj:`.HSETightRelaxMaker`
`Double Relax`_,flow,:obj:`.DoubleRelaxMaker`
`Band Structure`_,flow,:obj:`.BandStructureMaker`
`HSE06 Band Structure`_,flow,:obj:`.HSEBandStructureMaker`
`Relax and Band Structure`_,flow,:obj:`.RelaxBandStructureMaker`
`Elastic Constant`_,flow,:obj:`.ElasticMaker`
